0x0000	なし
0x0050	くさりかたびら
0x0051	おどりこのふく
0x0052	スライムのふく
0x0053	せいどうのよろい
0x0054	てつのむねあて
0x0055	エッチなしたぎ
0x0056	てつのよろい
0x0057	みかわしのふく
0x0058	はがねのよろい
0x0059	カメのこうら
0x005A	やすらぎのローブ
0x005B	レースのビスチェ
0x005C	ふしぎなボレロ
0x005D	まどうしのローブ
0x005E	ゾンビメイル
0x005F	ぎんのむねあて
0x0060	シルバーメイル
0x0061	せんしのパジャマ
0x0062	ブラッドメイル
0x0063	ひかりのドレス
0x0064	ドラゴンメイル
0x0065	けんじゃのローブ
0x0066	やいばのよろい
0x0067	みずのはごろも
0x0068	ダークローブ
0x0069	まほうのよろい
0x006A	シルクのビスチェ
0x006B	デビルアーマー
0x006C	ほのおのよろい
0x006D	てんしのレオタード
0x006E	しんぴのよろい
0x006F	ミラーアーマー
0x0070	プリンセスローブ
0x0071	まじんよろい
0x0072	てんくうのよろい
0x0073	おうじゃのマント
0x0074	メタルキングよろい
0x0075	はめつのたて
0x0076	おなべのふた
0x0077	かわのたて
0x0078	うろこのたて
0x0079	せいどうのたて
0x007A	てつのたて
0x007B	マジックシールド
0x007C	ドラゴンシールド
0x007D	ふうじんのたて
0x007E	ダークシールド
0x007F	ほのおのたて
0x0080	ちからのたて
0x0081	オーガシールド
0x0082	みかがみのたて
0x0083	てんくうのたて
0x0084	ひかりのたて
0x0085	メタルキングのたて
0x0086	かわのぼうし
0x0087	とんがりぼうし
0x0088	きのぼうし
0x0089	かいがらぼうし
0x008A	ヘアバンド
0x008B	けがわのフード
0x008C	ぎんのかみかざり
0x008D	てつのかぶと
0x008E	シルクハット
0x008F	てっかめん
0x0090	かぜのぼうし
0x0091	サタンヘルム
0x0092	シルクのヴェール
0x0093	しあわせのぼうし
0x0094	ちりょくのかぶと
0x0095	おうごんのティアラ
0x0096	グレートヘルム
0x0097	てんくうのかぶと
0x0098	たいようのかんむり
0x0099	メタルキングヘルム
0x009A	ビアンカのリボン
0x009B	ほしふるうでわ
0x009C	メガンテのうでわ
0x009D	エルフのおまもり
0x009E	ほのおのリング
0x009F	みずのリング
0x00A0	いのちのリング
0x00A1	やくそう
0x00A2	どくけしそう
0x00A3	せいすい
0x00A4	キメラのつばさ
0x00A5	せかいじゅのは
0x00A6	せかいじゅのしずく
0x00A7	まんげつそう
0x00A8	いのりのゆびわ
0x00A9	まほうのせいすい
0x00AA	においぶくろ
0x00AB	けんじゃのいし
0x00AC	ちからのたね
0x00AD	まもりのたね
0x00AE	すばやさのたね
0x00AF	かしこさのたね
0x00B0	いのちのきのみ
0x00B1	ふしぎなきのみ
0x00B2	すごろくけん
0x00B3	ふくびきけん
0x00B4	やみのランプ
0x00B5	まもののエサ
0x00B6	ばくだんいし
0x00B7	ファイトいっぱつ
0x00B8	ふっかつのたま
0x00B9	エルフののみぐすり
0x00BA	てんしのすず
0x00BB	いのちのいし
0x00BC	たたかいのドラム
0x00BD	イブールのほん
0x00BE	まほうのじゅうたん
0x00BF	てんくうのベル
0x00C0	そらとぶくつ
0x00C1	ラーのかがみ
0x00C2	たいまつ
0x00C3	はるかぜのフルート
0x00C4	ルラムーンそう
0x00C5	おうけのあかし
0x00C6	ようせいのホルン
0x00C7	フックつきロープ
0x00C8	せいなるみずさし
0x00C9	りゅうのみぎめ
0x00CA	りゅうのひだりめ
0x00CB	ゴールドオーブ
0x00CC	ひかるオーブ
0x00CD	ドラゴンオーブ
0x00CE	ラインハットのカギ
0x00CF	まほうのカギ
0x00D0	さいごのカギ
0x00D1	ちいさなメダル
0x00D2	ふしぎなちず
0x00D3	パパスのてがみ
0x00D4	サンタローズのいし
0x00D5	せいなるげんせき
0x00D6	せいなるほうせき
0x00D7	あんみんまくら
0x00D8	ぎんのポット
0x00D9	ぎんのティーカップ
0x00DA	ぎんのトレイ
0x00DB	ぎんのティーセット
0x00DC	ぎんのティーセット
0x00DD	レヌールのおうかん
0x00DE	サクラのひとえだ
0x00DF	きねんオルゴール
0x00E0	きねんオルゴール
0x00E1	きぼりのめがみぞう
0x00E2	オラクルやののれん
0x00E3	ボトルシップ
0x00E4	コワモテかかし
0x00E5	ルラフェンのじざけ
0x00E6	こうはくまんじゅう
0x00E7	こうはくまんじゅう
0x00E8	こうはくまんじゅう
0x00E9	ひとうのはな
0x00EA	さばくのバラ
0x00EB	メダルがたチョコ
0x00EC	おおきなメダル
0x00ED	チゾットのコンパス
0x00EE	モンスターチェス
0x00EF	てんのしへんしゅう
0x00F0	せかいじゅのなえぎ
0x00F1	せかいじゅのなえぎ
0x00F2	ようせいのはねペン
0x00F3	きんだんのまきもの
0x00F4	うわさのノート
0x00F5	ネッドのペナント
0x00F6	パオームのインク
0x00F7	のろいのうなりぎ
0x00F8	おもいでのロケット
0x00F9	おもいでのロケット
0x00FA	やみのトロフィー
0x00FB	みがきぬの
0x00FC	セレブリティパス
0x00FD	ゴールドカード
0x00FE	モンスターずかん
0x00FF	おうじのふく
0x0100	－
0x0101	ときのすな
0x0102	シャイニーネイル
0x0103	ダイヤモンドネイル
0x0104	シルクワンピース
0x0105	フラワーパラソル
0x0106	ミミックのいし
0x0107	ぜんめつのいし
