0000	E8
015D	87
015E	3A
015F	1E
0160	BD
0161	65
0162	D3
0163	EF
0164	9B
0165	70
0166	6C
0167	FF
0168	55
0169	F5
016A	9C
016B	3B
016C	E3
016D	4D
016E	CD
016F	35
0170	E7
0171	B7
0172	D0
0173	27
0174	69
0175	26
0176	8E
0177	58
0178	F2
0179	80
017A	BB
017B	92
017C	50
017D	A4
017E	62
017F	75
0180	D3
0181	E2
0182	53
0183	F5
0184	3F
0185	D7
0186	F6
0187	F6
0188	A4
0189	05
018A	5F
018B	EE
018C	BE
018D	53
018E	EA
018F	8F
0190	52
0191	4A
0192	9C
0193	0A
0194	A6
0195	E2
0196	A5
0197	A0
0198	2B
0199	42
019A	5A
019B	CF
019C	4B
019D	16
019E	47
019F	97
01A0	DD
01A1	E1
01A2	4A
01A3	F2
01A4	2B
01A5	49
01A6	DF
01A7	07
01A8	8B
01A9	12
01AA	2C
01AB	4A
01AC	AF
01AD	DE
01AE	A2
01AF	B8
01B0	5E
01B1	FF
01B2	0C
01B3	99
01B4	5A
01B5	DE
01B6	E3
01B7	AD
01B8	50
01B9	A6
01BA	CD
01BB	0E
01BC	4B
01BD	69
01BE	96
01BF	47
01C0	E4
01C1	DE
01C2	79
01C3	26
01C4	2A
01C5	17
01C6	D4
01C7	C4
01C8	DF
01C9	2C
01CA	E0
01CB	93
01CC	3C
01CD	73
01CE	55
01CF	86
01D0	76
01D1	8A
01D2	63
01D3	21
01D4	55
01D5	49
01D6	96
01D7	5F
01D8	18
01D9	EA
01DA	F3
01DB	DC
01DC	0A
01DD	78
01DE	0F
01DF	42
01E0	1B
01E1	C2
01E2	3D
01E3	12
01E4	89
01E5	6D
01E6	F0
01E7	C9
01E8	7E
01E9	DC
01EA	A6
01EB	71
01EC	D5
01ED	BB
01EE	99
01EF	DF
01F0	4E
01F1	44
01F2	B1
01F3	9D
01F4	07
01F5	3C
01F6	86
01F7	01
01F8	89
01F9	02
01FA	01
01FB	8B
01FC	7A
01FD	C3
01FE	D8
01FF	52
0200	22
0201	AD
0202	19
0203	DB
0204	88
0205	12
0206	C1
0207	FD
0208	15
0209	D1
020A	46
020B	20
020C	14
020D	4D
020E	39
020F	B4
0210	B5
0211	AD
0212	41
0213	E2
0214	ED
0215	82
0216	6B
0217	85
0218	2E
0219	A7
021A	C8
021B	58
021C	CF
021D	39
021E	FB
021F	77
0220	DE
0221	B0
0222	57
0223	5D
0224	C5
0225	AB
0226	92
0227	3A
0228	AE
0229	12
022A	BA
022B	AB
022C	9C
022D	E6
022E	B4
022F	7B
0230	21
0231	BF
0232	C2
0233	05
0234	A9
0235	17
0236	2A
0237	6A
0238	B4
0239	CC
023A	E9
023B	11
023C	95
023D	52
023E	5C
023F	D0
0240	57
0241	39
0242	37
0243	E4
0244	71
0245	C9
0246	21
0247	D5
0248	16
0249	16
024A	BC
024B	84
024C	01
024D	98
024E	DD
024F	1A
0250	19
0251	F1
0252	A1
0253	08
0254	FC
0255	87
0256	3A
0257	BE
0258	92
0259	94
025A	80
025B	B4
025C	E4
025D	9C
025E	3A
025F	F7
0260	84
0261	BB
0262	BA
0263	CE
0264	F9
0265	66
0266	CD
0267	3F
0268	66
0269	F7
026A	AA
026B	AC
026C	7D
026D	B2
026E	5B
026F	1B
0270	2A
0271	9A
0272	1B
0273	72
0274	91
0275	F7
0276	1E
0277	E7
0278	DF
0279	12
027A	78
027B	0E
027C	7C
027D	A5
027E	F1
027F	56
0280	6B
0281	0E
0282	2D
0283	85
0284	4B
0285	3E
0286	91
0287	89
0288	E3
0289	91
028A	4F
028B	D8
028C	80
028D	43
028E	6F
028F	E1
0290	52
0291	74
0292	47
0293	B1
0294	B0
0295	E3
0296	2D
0297	E3
0298	FD
0299	38
029A	71
029B	8A
029C	13
029D	06
029E	C1
029F	C7
02A0	34
02A1	F3
02A2	1C
02A3	C7
02A4	59
02A5	F2
02A6	7E
02A7	7B
02A8	E0
02A9	06
02AA	F0
02AB	72
02AC	18
02AD	9B
02AE	F2
02AF	7D
02B0	C2
02B1	1B
02B2	9E
02B3	3B
02B4	0D
02B5	25
02B6	4D
02B7	21
02B8	CD
02B9	8B
02BA	1A
02BB	18
02BC	B2
02BD	1D
02BE	61
02BF	CD
02C0	55
02C1	07
02C2	28
02C3	D5
02C4	98
02C5	74
02C6	56
02C7	BC
02C8	43
02C9	C5
02CA	54
02CB	A3
02CC	42
02CD	91
02CE	13
02CF	DE
02D0	BE
02D1	FF
02D2	CA
02D3	68
02D4	EF
02D5	29
02D6	13
02D7	78
02D8	A0
02D9	A6
02DA	A1
02DB	B6
02DC	04
02DD	39
02DE	AB
02DF	74
02E0	90
02E1	F8
02E2	4C
02E3	6A
02E4	BB
02E5	8F
02E6	65
02E7	BC
02E8	48
02E9	88
02EA	D0
02EB	C6
02EC	38
02ED	A3
02EE	83
02EF	30
02F0	3E
02F1	B5
02F2	33
02F3	DB
02F4	C7
02F5	2C
02F6	3D
02F7	D5
02F8	2F
02F9	64
02FA	75
02FB	BB
02FC	4A
02FD	C3
02FE	64
02FF	37
0300	78
0301	A4
0302	91
0303	70
0304	AF
0305	00
0306	D6
0307	FF
0308	B5
0309	52
030A	1F
030B	07
030C	A5
030D	AA
030E	12
030F	06
0310	DE
0311	C2
0312	8D
0313	F3
0314	5E
0315	FD
0316	EF
0317	E2
0318	83
0319	8D
031A	86
031B	38
031C	61
031D	42
031E	5F
031F	06
0320	F7
0321	AE
0322	62
0323	E5
0324	9A
0325	3D
0326	84
0327	48
0328	78
0329	7A
032A	7E
032B	1D
032C	29
032D	8D
032E	55
032F	21
0330	6B
0331	F3
0332	E1
0333	C0
0334	EE
0335	55
0336	06
0337	A6
0338	03
0339	4B
033A	5B
033B	B3
033C	3C
033D	1A
033E	B1
033F	CC
0340	14
0341	4E
0342	44
0343	BC
0344	F5
0345	E8
0346	31
0347	61
0348	FB
0349	60
034A	75
034B	5F
034C	48
034D	A7
034E	55
034F	8B
0350	F0
0351	02
0352	FA
0353	0B
0354	74
0355	A0
0356	3B
0357	88
0358	09
0359	C9
035A	06
035B	DC
035C	31
035D	56
035E	42
035F	5A
0360	BC
0361	3F
0362	7E
0363	02
0364	05
0365	E8
0366	B4
0367	86
0368	6B
0369	6F
036A	ED
036B	25
036C	05
036D	9F
036E	6B
036F	CC
0370	B4
0371	4F
0372	71
0373	06
0374	86
0375	E2
0376	F7
0377	F7
0378	7B
0379	39
037A	A4
037B	ED
037C	AC
037D	ED
037E	1B
037F	27
0380	9C
0381	C8
0382	A9
0383	49
0384	A0
0385	C0
0386	E5
0387	1F
0388	7E
0389	4D
038A	8D
038B	90
038C	5A
038D	EE
038E	C8
038F	B7
0390	0E
0391	C2
0392	60
0393	16
0394	26
0395	B9
0396	2D
0397	D7
0398	B6
0399	B7
039A	19
039B	80
039C	85
039D	58
039E	1D
039F	23
03A0	60
03A1	27
03A2	F8
03A3	2F
03A4	F7
03A5	4A
03A6	D8
03A7	76
03A8	7D
03A9	A2
03AA	F7
03AB	59
03AC	3B
03AD	51
03AE	57
03AF	9A
03B0	E7
03B1	FD
03B2	2D
03B3	95
03B4	8B
03B5	7A
03B6	31
03B7	37
03B8	44
03B9	F4
03BA	77
03BB	45
03BC	1F
03BD	37
03BE	CE
03BF	3B
03C0	63
03C1	A3
03C2	A4
03C3	D5
03C4	25
03C5	9B
03C6	3D
03C7	16
03C8	3F
03C9	B2
03CA	AD
03CB	12
03CC	5C
03CD	3E
03CE	49
03CF	C9
03D0	BB
03D1	17
03D2	AC
03D3	D3
03D4	87
03D5	0A
03D6	8F
03D7	AB
03D8	6D
03D9	D6
03DA	BC
03DB	85
03DC	8D
03DD	11
03DE	85
03DF	BC
03E0	89
03E1	17
03E2	5F
03E3	44
03E4	5C
03E5	B7
03E6	0C
03E7	19
03E8	36
03E9	31
03EA	5E
03EB	C4
03EC	75
03ED	92
03EE	C0
03EF	E3
03F0	3C
03F1	C9
03F2	60
03F3	08
03F4	94
03F5	5E
03F6	D1
03F7	60
03F8	A6
03F9	A7
03FA	76
03FB	59
03FC	BB
03FD	5E
03FE	59
03FF	66
0400	FC
0401	FC
0402	2B
0403	74
0404	16
0405	E9
0406	1E
0407	AD
0408	E3
0409	E7
040A	E8
040B	6E
040C	05
040D	BD
040E	E8
040F	55
0410	29
0411	FB
0412	A7
0413	6C
0414	BD
0415	63
0416	DC
0417	B2
0418	69
0419	72
041A	91
041B	90
041C	2D
041D	97
041E	16
041F	9D
0420	56
0421	0C
0422	A8
0423	13
0424	9E
0425	5A
0426	38
0427	B1
0428	57
0429	63
042A	17
042B	AC
042C	86
042D	C9
042E	21
042F	A1
0430	7F
0431	54
0432	5A
0433	8D
0434	E7
0435	C2
0436	96
0437	18
0438	6D
0439	74
043A	83
043B	C6
043C	06
043D	67
043E	2B
043F	63
0440	2B
0441	10
0442	5E
0443	3E
0444	C2
0445	A9
0446	7E
0447	09
0448	FC
0449	E2
044A	13
044B	EA
044C	4F
044D	3F
044E	87
044F	DB
0450	CE
0451	F2
0452	E8
0453	51
0454	A3
0455	A9
0456	76
0457	2B
0458	4A
0459	B2
045A	4E
045B	07
045C	57
045D	0A
045E	CE
045F	A8
0460	AA
0461	DA
0462	72
0463	94
0464	5B
0465	DD
0466	7A
0467	C1
0468	72
0469	6A
046A	48
046B	D6
046C	5B
046D	2C
046E	6C
046F	31
0470	D6
0471	8F
0472	7C
0473	53
0474	7F
0475	44
0476	48
0477	F1
0478	66
0479	5E
047A	94
047B	58
047C	4E
047D	11
047E	64
047F	4E
0480	7C
0481	E8
0482	5E
0483	B2
0484	D5
0485	5E
0486	2E
0487	8D
0488	E5
0489	47
048A	D8
048B	E5
048C	00
048D	C1
048E	8B
048F	CB
0490	65
0491	91
0492	4C
0493	38
0494	49
0495	C6
0496	D1
0497	73
0498	F2
0499	51
049A	9C
049B	1E
049C	06
049D	90
049E	B6
049F	76
04A0	3F
04A1	39
04A2	BF
04A3	F7
04A4	7F
04A5	DC
04A6	38
04A7	19
04A8	18
04A9	E3
04AA	6E
04AB	99
04AC	5E
04AD	49
04AE	1F
04AF	E8
04B0	F7
04B1	E4
04B2	D3
04B3	73
04B4	0B
04B5	52
04B6	17
04B7	6A
04B8	5F
04B9	66
04BA	D6
04BB	C2
04BC	3F
04BD	AF
04BE	9C
04BF	5C
04C0	0E
04C1	BF
04C2	7A
04C3	06
04C4	EE
04C5	B0
04C6	90
04C7	F0
04C8	7C
04C9	F5
04CA	41
04CB	98
04CC	15
04CD	DB
04CE	7F
04CF	F5
04D0	DB
04D1	B8
04D2	C7
04D3	AD
04D4	57
04D5	4C
04D6	8A
04D7	AE
04D8	FE
04D9	A4
04DA	8B
04DB	B8
04DC	1E
04DD	9A
04DE	B0
04DF	6A
04E0	28
04E1	DB
04E2	6F
04E3	58
04E4	2C
04E5	58
04E6	AC
04E7	41
04E8	8C
04E9	90
04EA	8B
04EB	2E
04EC	1E
04ED	1C
04EE	AC
04EF	85
04F0	B7
04F1	30
04F2	B3
04F3	B6
04F4	D8
04F5	4A
04F6	72
04F7	4F
04F8	4F
04F9	67
04FA	E2
04FB	C8
04FC	3E
04FD	43
04FE	D8
04FF	54
0500	9A
0501	C6
0502	53
0503	B5
0504	E1
0505	43
0506	E8
0507	EE
0508	1D
0509	29
050A	9B
050B	28
050C	5E
050D	AD
050E	A8
050F	40
0510	AC
0511	FF
0512	79
0513	C3
0514	EE
0515	A7
0516	D3
0517	E4
0518	3E
0519	7B
051A	CA
051B	EA
051C	8B
051D	AA
051E	8D
051F	08
0520	BF
0521	7F
0522	88
0523	04
0524	B8
0525	56
0526	3E
0527	75
0528	07
0529	46
052A	FF
052B	93
052C	4F
052D	11
052E	C7
052F	0A
0530	9C
0531	3A
0532	CC
0533	66
0534	5E
0535	89
0536	E6
0537	FB
0538	F3
0539	7C
053A	30
053B	9B
053C	43
053D	EB
053E	18
053F	DD
0540	4D
0541	F8
0542	16
0543	C2
0544	E7
0545	98
0546	73
0547	F0
0548	98
0549	93
054A	7C
054B	9B
054C	3A
054D	2F
054E	76
054F	05
0550	90
0551	B9
0552	2F
0553	D3
0554	41
0555	DB
0556	1B
0557	60
0558	F1
0559	5B
055A	49
055B	9D
055C	5F
055D	8E
055E	CA
055F	10
0560	01
0561	9C
0562	0E
0563	ED
0564	42
0565	7F
0566	C8
0567	AE
0568	72
0569	E7
056A	03
056B	7B
056C	D3
056D	6C
056E	E8
056F	57
0570	48
0571	97
0572	68
0573	6C
0574	E9
0575	D3
0576	2A
0577	66
0578	E1
0579	B6
057A	4B
057B	EF
057C	5A
057D	0B
057E	15
057F	AB
0580	38
0581	3A
0582	C2
0583	B1
0584	E1
0585	39
0586	E3
0587	DA
0588	02
0589	BF
058A	70
058B	2F
058C	7B
058D	E1
058E	EC
058F	EB
0590	FB
0591	61
0592	34
0593	9B
0594	67
0595	8D
0596	3B
0597	16
0598	8D
0599	2E
059A	CD
059B	9D
059C	82
059D	A4
059E	6A
059F	CF
05A0	47
05A1	FE
05A2	29
05A3	6A
05A4	DC
05A5	45
05A6	7C
05A7	07
05A8	FA
05A9	E7
05AA	AD
05AB	0E
05AC	2A
05AD	6B
05AE	8E
05AF	03
05B0	6F
05B1	94
05B2	15
05B3	F8
05B4	6E
05B5	07
05B6	56
05B7	58
05B8	67
05B9	59
05BA	3F
05BB	56
05BC	50
05BD	F5
05BE	E5
05BF	ED
05C0	41
05C1	EA
05C2	B9
05C3	26
05C4	C0
05C5	5C
05C6	33
05C7	55
05C8	7B
05C9	E7
05CA	FF
05CB	7E
05CC	07
05CD	D9
05CE	C4
05CF	87
05D0	81
05D1	6F
05D2	53
05D3	23
05D4	9D
05D5	57
05D6	3F
05D7	99
05D8	B6
05D9	B8
05DA	27
05DB	78
05DC	40
05DD	67
05DE	B7
05DF	D4
05E0	03
05E1	C3
05E2	1D
05E3	20
05E4	69
05E5	D7
05E6	B1
05E7	74
05E8	B6
05E9	D3
05EA	6F
05EB	54
05EC	98
05ED	43
05EE	CE
05EF	22
05F0	25
05F1	34
05F2	06
05F3	C8
05F4	97
05F5	1E
05F6	3F
05F7	5D
05F8	34
05F9	9D
05FA	02
05FB	7C
05FC	0F
05FD	C1
05FE	8C
05FF	70
0600	FE
0601	A7
0602	CD
0603	86
0604	5E
0605	DB
0606	08
0607	EB
0608	03
0609	A2
060A	65
060B	A4
060C	9A
060D	AF
060E	A8
060F	09
0610	12
0611	23
0612	F7
0613	55
0614	86
0615	11
0616	4E
0617	4B
0618	AA
0619	94
061A	EB
061B	C4
061C	E7
061D	16
061E	96
061F	BA
0620	E3
0621	49
0622	9C
0623	52
0624	1C
0625	D4
0626	56
0627	FF
0628	C7
0629	F5
062A	05
062B	40
062C	C3
062D	8D
062E	4A
062F	4A
0630	AB
0631	8A
0632	00
0633	55
0634	FA
0635	93
0636	53
0637	88
0638	22
0639	CB
063A	66
063B	84
063C	46
063D	B0
063E	05
063F	E0
0640	F6
0641	3D
0642	DD
0643	7E
0644	60
0645	25
0646	35
0647	54
0648	03
0649	04
064A	85
064B	78
064C	2C
064D	BA
064E	46
064F	46
0650	0D
0651	A1
0652	37
0653	1F
0654	CC
0655	EF
0656	1E
0657	08
0658	14
0659	8C
065A	07
065B	C3
065C	55
065D	34
065E	65
065F	72
0660	6D
0661	B2
0662	20
0663	E1
0664	16
0665	41
0666	28
0667	1B
0668	DB
0669	A9
066A	BA
066B	85
066C	CC
066D	C5
066E	8F
066F	E4
0670	AC
0671	0F
0672	BA
0673	EB
0674	3E
0675	45
0676	38
0677	B9
0678	6F
0679	A7
067A	1E
067B	BA
067C	06
067D	C6
067E	77
067F	6E
0680	A2
0681	49
0682	CC
0683	A4
0684	34
0685	C9
0686	AE
0687	65
0688	19
0689	32
068A	56
068B	76
068C	A3
068D	94
068E	25
068F	C8
0690	F6
0691	5F
0692	16
0693	E0
0694	A7
0695	AE
0696	C3
0697	12
0698	BF
0699	4B
069A	9F
069B	8F
069C	F3
069D	4B
069E	86
069F	F7
06A0	73
06A1	78
06A2	32
06A3	1B
06A4	8B
06A5	67
06A6	3A
06A7	7D
06A8	51
06A9	6F
06AA	F2
06AB	E0
06AC	3A
06AD	83
06AE	FD
06AF	BD
06B0	B2
06B1	A9
06B2	9D
06B3	E8
06B4	44
06B5	BC
06B6	7A
06B7	61
06B8	C2
06B9	F4
06BA	D0
06BB	AA
06BC	6C
06BD	76
06BE	1A
06BF	95
06C0	42
06C1	0F
06C2	93
06C3	5B
06C4	1E
06C5	2B
06C6	68
06C7	AA
06C8	8A
06C9	96
06CA	A1
06CB	FE
06CC	D5
06CD	86
06CE	D2
06CF	34
06D0	41
06D1	5A
06D2	14
06D3	91
06D4	DF
06D5	36
06D6	5F
06D7	80
06D8	8F
06D9	0C
06DA	9E
06DB	78
06DC	F0
06DD	87
06DE	57
06DF	21
06E0	6C
06E1	42
06E2	5B
06E3	EF
06E4	D6
06E5	8B
06E6	85
06E7	91
06E8	40
06E9	7F
06EA	8B
06EB	84
06EC	CE
06ED	C3
06EE	41
06EF	11
06F0	CF
06F1	65
06F2	6B
06F3	7D
06F4	D2
06F5	80
06F6	72
06F7	9B
06F8	F3
06F9	E4
06FA	FB
06FB	8A
06FC	16
06FD	36
06FE	B0
06FF	06
0700	E7
0701	B0
0702	F3
0703	18
0704	F6
0705	E4
0706	F5
0707	1F
0708	38
0709	8C
070A	32
070B	5D
070C	83
070D	42
070E	92
070F	AE
0710	A6
0711	E8
0712	A5
0713	0C
0714	4E
0715	38
0716	B4
0717	03
0718	3B
0719	0A
071A	10
071B	29
071C	5E
071D	D2
071E	D1
071F	A3
0720	95
0721	FE
0722	15
0723	A0
0724	91
0725	FF
0726	A5
0727	21
0728	4A
0729	DB
072A	7E
072B	8A
072C	EC
072D	81
072E	2E
072F	E1
0730	4F
0731	B3
0732	96
0733	13
0734	D3
0735	9A
0736	63
0737	97
0738	D2
0739	60
073A	9C
073B	0E
073C	F2
073D	14
073E	94
073F	13
0740	5B
0741	A0
0742	87
0743	DD
0744	37
0745	41
0746	56
0747	C4
0748	37
0749	09
074A	FF
074B	2C
074C	1A
074D	F6
074E	3E
074F	BF
0750	47
0751	8A
0752	88
0753	75
0754	EC
0755	B9
0756	DD
0757	38
0758	42
0759	06
075A	65
075B	45
075C	5D
075D	6D
075E	04
075F	71
0760	A7
0761	16
0762	94
0763	3E
0764	DB
0765	0E
0766	FA
0767	28
0768	70
0769	50
076A	89
076B	CB
076C	A2
076D	16
076E	B0
076F	ED
0770	80
0771	84
0772	07
0773	DB
0774	B2
0775	66
0776	6E
0777	C6
0778	24
0779	FD
077A	FE
077B	38
077C	CA
077D	9E
077E	76
077F	C3
0780	DC
0781	BC
0782	8C
0783	17
0784	8F
0785	93
0786	B8
0787	63
0788	83
0789	BC
078A	D2
078B	C3
078C	4E
078D	08
078E	A8
078F	33
0790	9D
0791	9C
0792	AB
0793	98
0794	3E
0795	86
0796	36
0797	CF
0798	DE
0799	AD
079A	14
079B	25
079C	56
079D	8D
079E	DD
079F	7F
07A0	54
07A1	1E
07A2	14
07A3	4D
07A4	6A
07A5	C0
07A6	F0
07A7	52
07A8	09
07A9	02
07AA	F8
07AB	F5
07AC	37
07AD	29
07AE	EE
07AF	42
07B0	49
07B1	6F
07B2	5F
07B3	68
07B4	97
07B5	08
07B6	E1
07B7	17
07B8	AE
07B9	60
07BA	41
07BB	50
07BC	2C
07BD	27
07BE	A8
07BF	F7
07C0	CD
07C1	F6
07C2	CF
07C3	8F
07C4	BC
07C5	5D
07C6	D2
07C7	28
07C8	04
07C9	14
07CA	13
07CB	B5
07CC	32
07CD	77
07CE	E9
07CF	AC
07D0	C0
07D1	70
07D2	0E
07D3	02
07D4	06
07D5	3A
07D6	45
07D7	F6
07D8	FD
07D9	7E
07DA	A6
07DB	DD
07DC	9A
07DD	06
07DE	69
07DF	8A
07E0	0E
07E1	D4
07E2	43
07E3	A5
07E4	DE
07E5	93
07E6	7E
07E7	82
07E8	B7
07E9	33
07EA	F0
07EB	6A
07EC	42
07ED	0D
07EE	33
07EF	E6
07F0	67
07F1	71
07F2	E0
07F3	77
07F4	AB
07F5	7D
07F6	84
07F7	4F
07F8	5A
07F9	64
07FA	79
07FB	E9
07FC	1E
07FD	D6
07FE	1D
07FF	BA
0800	A6
0801	E2
0802	E2
0803	02
0804	3C
0805	9A
0806	ED
0807	A1
0808	02
0809	65
080A	58
080B	64
080C	7A
080D	08
080E	01
080F	92
0810	84
0811	F0
0812	FF
0813	E5
0814	55
0815	C4
0816	7C
0817	69
0818	C2
0819	D0
081A	3F
081B	6F
081C	B5
081D	3F
081E	0E
081F	10
0820	C6
0821	FA
0822	91
0823	54
0824	B5
0825	77
0826	BF
0827	62
0828	EC
0829	77
082A	D0
082B	7C
082C	0C
082D	F8
082E	5E
082F	E9
0830	CB
0831	C8
0832	25
0833	18
0834	A1
0835	D2
0836	4E
0837	63
0838	C4
0839	D9
083A	09
083B	0F
083C	B3
083D	35
083E	FA
083F	B2
0840	3F
0841	6A
0842	44
0843	58
0844	42
0845	D5
0846	51
0847	65
0848	0E
0849	66
084A	DF
084B	34
084C	D5
084D	4B
084E	E1
084F	3B
0850	F5
0851	F5
0852	40
0853	F1
0854	08
0855	BE
0856	3E
0857	BB
0858	73
0859	D0
085A	76
085B	2F
085C	58
085D	47
085E	C9
085F	7A
0860	20
0861	27
0862	BC
0863	1E
0864	FF
0865	A9
0866	48
0867	F9
0868	09
0869	5A
086A	FB
086B	E3
086C	81
086D	FB
086E	92
086F	22
0870	7B
0871	DE
0872	E2
0873	0C
0874	D0
0875	A0
0876	F8
0877	F7
0878	14
0879	16
087A	32
087B	E7
087C	BB
087D	84
087E	DC
087F	28
0880	C2
0881	1A
0882	80
0883	92
0884	BC
0885	3B
0886	BB
0887	4D
0888	B6
0889	4F
088A	A2
088B	C0
088C	BE
088D	FF
088E	68
088F	B8
0890	EE
0891	DF
0892	2A
0893	FC
0894	40
0895	18
0896	3A
0897	14
0898	48
0899	0E
089A	CA
089B	D3
089C	7C
089D	18
089E	33
089F	95
08A0	B7
08A1	17
08A2	4D
08A3	A8
08A4	47
08A5	8D
08A6	AE
08A7	5D
08A8	5C
08A9	CF
08AA	E7
08AB	EE
08AC	8B
08AD	DD
08AE	88
08AF	C1
08B0	44
08B1	A2
08B2	80
08B3	B1
08B4	9A
08B5	90
08B6	DE
08B7	89
08B8	0F
08B9	00
08BA	B7
08BB	F0
08BC	C7
08BD	54
08BE	69
08BF	5C
08C0	06
08C1	CD
08C2	F5
08C3	9C
08C4	84
08C5	2F
08C6	2F
08C7	05
08C8	F5
08C9	B5
08CA	4B
08CB	C1
08CC	76
08CD	8E
08CE	F6
08CF	45
08D0	A0
08D1	2B
08D2	A9
08D3	3A
08D4	55
08D5	30
08D6	21
08D7	67
08D8	46
08D9	DD
08DA	E7
08DB	AC
08DC	21
08DD	C1
08DE	4D
08DF	B3
08E0	F2
08E1	B1
08E2	53
08E3	B8
08E4	3F
08E5	4D
08E6	CE
08E7	CB
08E8	18
08E9	9E
08EA	F8
08EB	69
08EC	D8
08ED	F6
08EE	3F
08EF	28
08F0	8A
08F1	BD
08F2	CF
08F3	4B
08F4	56
08F5	2D
08F6	1D
08F7	18
08F8	9E
08F9	6E
08FA	7B
08FB	F7
08FC	78
08FD	E9
08FE	0C
08FF	CA
0900	F7
0901	C2
0902	20
0903	6C
0904	6D
0905	88
0906	21
0907	83
0908	EC
0909	EE
090A	69
090B	37
090C	AC
090D	FC
090E	53
090F	6A
0910	54
0911	6B
0912	B8
0913	14
0914	A0
0915	1E
0916	95
0917	5F
0918	12
0919	B6
091A	BC
091B	E2
091C	74
091D	81
091E	4B
091F	32
0920	78
0921	91
